Pos,Name,GP,Team,Stat,League,Statname,ABBR,CREST
1,Messi,11,Barcelona,12,La Liga,Goals,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
2,Zaza,11,Valencia CF,9,La Liga,Goals,VAL,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
3,Bakambu,10,Villarreal,8,La Liga,Goals,VCF,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg
4,Sanabria,10,Real Betis,7,La Liga,Goals,BET,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg
5,Moreno,11,Valencia CF,7,La Liga,Goals,VAL,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
6,Oyarzabal,8,Real Sociedad,6,La Liga,Goals,RSS,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebastián.svg
7,Stuani,9,Girona,6,La Liga,Goals,GFC,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg
8,Aspas,11,Celta de Vigo,6,La Liga,Goals,VIG,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
9,Gómez González,10,Celta de Vigo,5,La Liga,Goals,VIG,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
10,Remy,6,Las Palmas,4,La Liga,Goals,LPA,http://upload.wikimedia.org/wikipedia/en/2/20/UD_Las_Palmas_logo.svg
1,Sisto,11,Celta de Vigo,7,La Liga,Assists,VIG,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
2,Guardado,11,Real Betis,6,La Liga,Assists,BET,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg
3,Ganchinho Guedes,9,Valencia CF,5,La Liga,Assists,VAL,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
4,Alba,9,Barcelona,4,La Liga,Assists,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
5,Wass,11,Celta de Vigo,4,La Liga,Assists,VIG,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg
6,Soler,11,Valencia CF,4,La Liga,Assists,VAL,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
7,Odriozola,11,Real Sociedad,4,La Liga,Assists,RSS,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebastián.svg
8,Ruiz,8,Real Betis,3,La Liga,Assists,BET,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg
9,Carrasco,8,Atlético de Madrid,3,La Liga,Assists,ATM,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg
10,Roberto,9,Barcelona,3,La Liga,Assists,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
1,Viera,10,Las Palmas,33,La Liga,Ch. Created,LPA,http://upload.wikimedia.org/wikipedia/en/2/20/UD_Las_Palmas_logo.svg
2,Messi,11,Barcelona,25,La Liga,Ch. Created,FCB,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg
3,Guardado,11,Real Betis,25,La Liga,Ch. Created,BET,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg
4,Isco,11,Real Madrid,23,La Liga,Ch. Created,MAD,https://upload.wikimedia.org/wikipedia/sco/thumb/5/56/Real_Madrid_CF.svg/429px-Real_Madrid_CF.svg.png
5,Granell Nogué,9,Girona,20,La Liga,Ch. Created,GFC,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg
6,Szymanowski,9,Leganés,19,La Liga,Ch. Created,,https://upload.wikimedia.org/wikipedia/en/0/02/Club_Deportivo_Legan%C3%A9s.png
7,Pérez,9,Deportivo de La Coruña,19,La Liga,Ch. Created,,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/RC_Deportivo_La_Coru%C3%B1a_logo.svg/1200px-RC_Deportivo_La_Coru%C3%B1a_logo.svg.png
8,Fajr,10,Getafe,19,La Liga,Ch. Created,FCG,http://upload.wikimedia.org/wikipedia/de/d/de/Getafe_CF.svg
9,Fornals,11,Villarreal,19,La Liga,Ch. Created,VCF,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg
10,Ganchinho Guedes,9,Valencia CF,18,La Liga,Ch. Created,VAL,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg
1,Agüero,8,Manchester City,8,Premier League,Goals,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
2,Kane,10,Tottenham Hotspur,8,Premier League,Goals,THFC,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
3,Sterling,9,Manchester City,7,Premier League,Goals,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
4,Jesus,10,Manchester City,7,Premier League,Goals,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
5,Morata,10,Chelsea,7,Premier League,Goals,CFC,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
6,Salah Ghaly,11,Liverpool,7,Premier League,Goals,LFC,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg
7,Lukaku,11,Manchester United,7,Premier League,Goals,MUFC,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
8,Vardy,11,Leicester City,6,Premier League,Goals,LCFC,http://upload.wikimedia.org/wikipedia/en/6/63/Leicester02.png
9,Sané,11,Manchester City,6,Premier League,Goals,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
10,Lacazette,11,Arsenal,6,Premier League,Goals,AFC,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
1,Silva,11,Manchester City,7,Premier League,Assists,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
2,De Bruyne,11,Manchester City,6,Premier League,Assists,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
3,Sané,11,Manchester City,5,Premier League,Assists,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
4,Mkhitaryan,11,Manchester United,5,Premier League,Assists,MUFC,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
5,Groß,11,Brighton and Hove Albion,5,Premier League,Assists,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/1024px-Brighton_%26_Hove_Albion_logo.svg.png
6,Azpilicueta,11,Chelsea,5,Premier League,Assists,CFC,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
7,Trippier,8,Tottenham Hotspur,4,Premier League,Assists,THFC,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
8,Walker,10,Manchester City,4,Premier League,Assists,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
9,Shaqiri,10,Stoke City,4,Premier League,Assists,SCFC,http://upload.wikimedia.org/wikipedia/de/a/a3/Stoke_City.svg
10,Ritchie,11,Newcastle United,4,Premier League,Assists,NUFC,http://upload.wikimedia.org/wikipedia/de/5/56/Newcastle_United_Logo.svg
1,Fàbregas,10,Chelsea,32,Premier League,Ch. Created,CFC,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
2,De Bruyne,11,Manchester City,32,Premier League,Ch. Created,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
3,Özil,9,Arsenal,30,Premier League,Ch. Created,AFC,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
4,Silva,11,Manchester City,29,Premier League,Ch. Created,MCFC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
5,Shaqiri,10,Stoke City,27,Premier League,Ch. Created,SCFC,http://upload.wikimedia.org/wikipedia/de/a/a3/Stoke_City.svg
6,Eriksen,11,Tottenham Hotspur,24,Premier League,Ch. Created,THFC,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
7,Mkhitaryan,11,Manchester United,23,Premier League,Ch. Created,MUFC,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
8,Groß,11,Brighton and Hove Albion,23,Premier League,Ch. Created,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/1024px-Brighton_%26_Hove_Albion_logo.svg.png
9,Redmond,11,Southampton,22,Premier League,Ch. Created,SFC,http://upload.wikimedia.org/wikipedia/de/c/c9/FC_Southampton.svg
10,Firmino,11,Liverpool,22,Premier League,Ch. Created,LFC,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg
1,Lewandowski,11,FC Bayern München,11,Bundesliga,Goals,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
2,Aubameyang,11,Borussia Dortmund,10,Bundesliga,Goals,BVB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
3,Werner,9,RB Leipzig,6,Bundesliga,Goals,,http://vignette2.wikia.nocookie.net/logopedia/images/5/5d/RB_Leipzig_logo_%282010-2014%29.svg/revision/latest?cb=20140624200003
4,Volland,11,Bayer 04 Leverkusen,6,Bundesliga,Goals,,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
5,Philipp,9,Borussia Dortmund,5,Bundesliga,Goals,BVB,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
6,Uth,10,TSG 1899 Hoffenheim,5,Bundesliga,Goals,TSG,https://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg
7,Gregoritsch,10,FC Augsburg,5,Bundesliga,Goals,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
8,Finnbogason,10,FC Augsburg,5,Bundesliga,Goals,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
9,Harnik,11,Hannover 96,5,Bundesliga,Goals,H96,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg
10,Haller,11,Eintracht Frankfurt,5,Bundesliga,Goals,SGE,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
1,Max,11,FC Augsburg,5,Bundesliga,Assists,FCA,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
2,Müller,9,FC Bayern München,4,Bundesliga,Assists,FCB,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_München.svg
3,Öztunali,11,1. FSV Mainz 05,4,Bundesliga,Assists,M05,http://upload.wikimedia.org/wikipedia/de/0/0b/FSV_Mainz_05_Logo.svg
